name,address,lat,lng,tel,website,google_url,google_rating,yelp_rating,yelp_review_count,yelp_url
804 Motorsports LLC,16600 Jefferson Davis Highway Suite B Colonial Heights,37.2948501,-77.41138190000001,+1 804-543-9493,https://www.facebook.com/804motorsportsllc/,https://maps.google.com/?cid=11220809478258077636,5,,,
Adventure BMW,669 Woodlake Drive Chesapeake,36.78953509999999,-76.2374382,+1 757-523-7055,http://www.adventurebmw.com/,https://maps.google.com/?cid=5993490624828208776,3.5,5,1,https://www.yelp.com/biz/adventure-bmw-chesapeake?adjust_creative=qOC01QrH4IaU62En4-mvXg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=qOC01QrH4IaU62En4-mvXg
All Aspects Motorsports,136 Tilden Avenue Chesapeake,36.725759,-76.244457,+1 757-547-2888,http://www.allaspectsmotorsports.com/,https://maps.google.com/?cid=11573359974751657340,4.9,4.5,3,https://www.yelp.com/biz/all-aspects-motorsports-chesapeake?adjust_creative=qOC01QrH4IaU62En4-mvXg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=qOC01QrH4IaU62En4-mvXg
All Out Cycles,108 Kempsville Road # 103 Chesapeake,36.7324559,-76.23885199999999,+1 757-549-0066,http://www.alloutcycles.com/,https://maps.google.com/?cid=5735942402781201865,4.5,3,3,https://www.yelp.com/biz/all-out-cycles-chesapeake?adjust_creative=qOC01QrH4IaU62En4-mvXg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=qOC01QrH4IaU62En4-mvXg
Alpha Motorsports,410 Hudgins Road Fredericksburg,38.2720887,-77.4946678,+1 540-891-4449,http://www.alphamotorsport.net/,https://maps.google.com/?cid=8696127937488329580,4.1,2.5,21,https://www.yelp.com/biz/alpha-motorsports-fredericksburg?adjust_creative=qOC01QrH4IaU62En4-mvXg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=qOC01QrH4IaU62En4-mvXg
Alpha Motorsports of Manassas,9120 Euclid Avenue Manassas,38.7572789,-77.4572309,+1 703-763-4675,http://www.alphamotorsport.net/,https://maps.google.com/?cid=15127963299622104008,4.9,,,
Angel Motorsports,2515 South Military Highway Chesapeake,36.7764226,-76.28334799999999,+1 757-438-8769,http://www.angelmotorsports.com/,https://maps.google.com/?cid=17778054516706310290,4.6,,,
Atlas Yamaha,2377 Lee Highway Bristol,36.6277804,-82.1500764,+1 276-669-6666,http://www.atlashondayamaha.com/,https://maps.google.com/?cid=4673018850369328938,3.5,2.5,3,https://www.yelp.com/biz/atlas-honda-yamaha-bristol?adjust_creative=qOC01QrH4IaU62En4-mvXg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=qOC01QrH4IaU62En4-mvXg
Ballenger Motorsports Inc.,8052 Elm Drive Ste G Mechanicsville,37.59664420000001,-77.37365419999999,+1 804-915-7201,http://www.bmotorsports.com/,https://maps.google.com/?cid=16745880781329267220,5,,,
Bayside Harley-Davidson®,2211 Frederick Boulevard Portsmouth,36.822501,-76.329842,+1 757-397-5550,http://www.baysidehd.com/,https://maps.google.com/?cid=8143380413025416296,4.4,4,17,https://www.yelp.com/biz/bayside-harley-davidson-portsmouth-2?adjust_creative=qOC01QrH4IaU62En4-mvXg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=qOC01QrH4IaU62En4-mvXg
Big St. Charles Motorsports,3830 West Clay Street Saint Charles,38.7946179,-90.5615523,+1 636-946-6487,http://www.bigstcharlesmotorsports.com/,https://maps.google.com/?cid=8683384508069583967,3.7,4,9,https://www.yelp.com/biz/st-charles-harley-davidson-saint-charles?adjust_creative=qOC01QrH4IaU62En4-mvXg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=qOC01QrH4IaU62En4-mvXg
Black Bear Harley-Davidson,430 Lithia Road Wytheville,36.9508032,-81.0557714,+1 276-228-9000,http://www.blackbearhd.com/,https://maps.google.com/?cid=856304400658906813,4.6,3,3,https://www.yelp.com/biz/black-bear-harley-davidson-wytheville-4?adjust_creative=qOC01QrH4IaU62En4-mvXg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=qOC01QrH4IaU62En4-mvXg
Black Wolf Harley-Davidson®,1061 Old Abingdon Hwy #1 Bristol,36.6247398,-82.15410680000001,+1 888-797-9653,http://www.blackwolfharley.com/,https://maps.google.com/?cid=5891736523785601221,4.3,,,
Blalock Cycle Co.,170 West Lee Highway Warrenton,38.728071,-77.79694599999999,+1 540-347-4591,http://www.blalockmotorcycles.com/,https://maps.google.com/?cid=12127858572351495643,4.6,3,6,https://www.yelp.com/biz/blalock-cycle-warrenton?adjust_creative=qOC01QrH4IaU62En4-mvXg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=qOC01QrH4IaU62En4-mvXg
