name,address,lat,lng,tel,website,google_url,google_rating,google_reviews_count,opening_hours,yelp_rating,yelp_review_count,yelp_url,is_listed_yelp,is_claimed_yelp,empty_col,,,,,,,,
Auto Haus of Yorktown,100 Greene Drive Yorktown,37.182309,-76.483659,+1 757-898-1200,https://www.autohausva.com/,https://maps.google.com/?cid=3399735285117247099,4.5,5,Monday: 7:30 AM – 6:00 PM/ Tuesday: 7:30 AM – 6:00 PM/ Wednesday: 7:30 AM – 6:00 PM/ Thursday: 7:30 AM – 6:00 PM/ Friday: 7:30 AM – 6:00 PM/ Saturday: 9:00 AM – 4:00 PM/ Sunday: Closed/,4.5,13,https://www.yelp.com/biz/auto-haus-yorktown-4?adjust_creative=qOC01QrH4IaU62En4-mvXg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=qOC01QrH4IaU62En4-mvXg,1,1,,,,,,,,,
Valley Cycle Center,100 Myersons Drive Winchester,39.139719,-78.124555,+1 540-667-1893,http://www.valleycyclecenter.com/,https://maps.google.com/?cid=10572824195178481470,4.7,5,Monday: 9:00 AM – 6:00 PM/ Tuesday: 9:00 AM – 6:00 PM/ Wednesday: 9:00 AM – 6:00 PM/ Thursday: 9:00 AM – 6:00 PM/ Friday: 9:00 AM – 6:00 PM/ Saturday: 9:00 AM – 3:00 PM/ Sunday: Closed/,4,6,https://www.yelp.com/biz/valley-cycle-center-winchester?adjust_creative=qOC01QrH4IaU62En4-mvXg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=qOC01QrH4IaU62En4-mvXg,1,1,,,,,,,,,
Frontline Eurosports,1003 Electric Road Salem,37.2794476,-80.03567489999999,+1 540-387-9780,http://www.frontlineeurosports.com/,https://maps.google.com/?cid=13340372508814296467,4.7,5,Monday: Closed/ Tuesday: 9:00 AM – 6:00 PM/ Wednesday: 9:00 AM – 6:00 PM/ Thursday: 9:00 AM – 6:00 PM/ Friday: 9:00 AM – 6:00 PM/ Saturday: 10:00 AM – 3:00 PM/ Sunday: Closed/,,,,0,0,,,,,,,,,
Firestone Complete Auto Care,10095 Brook Road Glen Allen,37.6732753,-77.45891019999999,+1 804-616-4510,http://local.firestonecompleteautocare.com/virginia/glen-allen/10095-brook-rd/?utm_source=google&utm_medium=organic&utm_campaign=localmaps&lw_cmp=oloc_google_localmaps_maps,https://maps.google.com/?cid=9769822390872173608,3.4,5,Monday: 7:00 AM – 7:00 PM/ Tuesday: 7:00 AM – 7:00 PM/ Wednesday: 7:00 AM – 7:00 PM/ Thursday: 7:00 AM – 7:00 PM/ Friday: 7:00 AM – 7:00 PM/ Saturday: 7:00 AM – 6:00 PM/ Sunday: 9:00 AM – 5:00 PM/,2.5,10,https://www.yelp.com/biz/firestone-complete-auto-care-glen-allen?adjust_creative=qOC01QrH4IaU62En4-mvXg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=qOC01QrH4IaU62En4-mvXg,1,1,,,,,,,,,
Hi-Tech Auto Services,101 First Colonial Road Virginia Beach,36.8378977,-76.02232859999999,+1 757-428-8977,,https://maps.google.com/?cid=18387945148471799624,4.8,5,Monday: 8:00 AM – 5:00 PM/ Tuesday: 8:00 AM – 5:00 PM/ Wednesday: 8:00 AM – 5:00 PM/ Thursday: 8:00 AM – 5:00 PM/ Friday: 8:00 AM – 5:00 PM/ Saturday: Closed/ Sunday: Closed/,5,3,https://www.yelp.com/biz/hitech-auto-service-virginia-beach?adjust_creative=qOC01QrH4IaU62En4-mvXg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=qOC01QrH4IaU62En4-mvXg,1,1,,,,,,,,,
Edwards Motorsports and RVs (Full Throttle Motorsports),1010 34th Avenue Council Bluffs,41.2261329,-95.85823359999999,+1 712-366-8400,http://www.edwardsmotorsports.com/,https://maps.google.com/?cid=4882835460025363856,4.2,5,Monday: 9:00 AM – 7:00 PM/ Tuesday: 9:00 AM – 7:00 PM/ Wednesday: 9:00 AM – 6:00 PM/ Thursday: 9:00 AM – 7:00 PM/ Friday: 9:00 AM – 6:00 PM/ Saturday: 9:00 AM – 5:00 PM/ Sunday: Closed/,2.5,2,https://www.yelp.com/biz/edwards-motorsports-council-bluffs?adjust_creative=qOC01QrH4IaU62En4-mvXg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=qOC01QrH4IaU62En4-mvXg,1,1,,,,,,,,,
Mountain Motor Sports Inc.,10115 Orby Cantrell Highway Pound,37.0904227,-82.600495,+1 276-796-4900,http://www.mtnmotorsports.net/,https://maps.google.com/?cid=7698342393959470862,4.6,5,Monday: Closed/ Tuesday: 9:00 AM – 5:30 PM/ Wednesday: 9:00 AM – 5:30 PM/ Thursday: 9:00 AM – 5:30 PM/ Friday: 9:00 AM – 5:30 PM/ Saturday: 9:00 AM – 4:00 PM/ Sunday: Closed/,,,,0,0,,,,,,,,,
Indian Motorcycle of Fredericksburg,10151 Southpoint Parkway Fredericksburg,38.2408245,-77.50601399999999,+1 540-642-4017,http://indianbikesva.com/,https://maps.google.com/?cid=11867756497409463055,4.9,5,Monday: 9:00 AM – 6:00 PM/ Tuesday: 9:00 AM – 6:00 PM/ Wednesday: 9:00 AM – 6:00 PM/ Thursday: 9:00 AM – 6:00 PM/ Friday: 9:00 AM – 6:00 PM/ Saturday: 9:00 AM – 5:00 PM/ Sunday: Closed/,4,4,https://www.yelp.com/biz/indian-motorcycle-of-fredericksburg-fredericksburg-2?adjust_creative=qOC01QrH4IaU62En4-mvXg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=qOC01QrH4IaU62En4-mvXg,1,1,,,,,,,,,
AutoZone,1021 VA Beach Blvd Ste 101 Virginia Beach,36.84147,-75.99214599999999,+1 757-491-4200,https://www.autozone.com/locations/va/virginia-beach/1021-va-beach-blvd--ste-101.html,https://maps.google.com/?cid=16691414380175318303,4.3,5,Monday: 7:30 AM – 9:00 PM/ Tuesday: 7:30 AM – 9:00 PM/ Wednesday: 7:30 AM – 9:00 PM/ Thursday: 7:30 AM – 9:00 PM/ Friday: 7:30 AM – 9:00 PM/ Saturday: 7:30 AM – 9:00 PM/ Sunday: 8:00 AM – 8:00 PM/,3,5,https://www.yelp.com/biz/autozone-virginia-beach-2?adjust_creative=qOC01QrH4IaU62En4-mvXg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=qOC01QrH4IaU62En4-mvXg,1,0,,,,,,,,,
Legacy Motor Sports,10321 Jefferson Davis Highway Richmond,37.3847865,-77.4239532,+1 804-562-9598,http://www.legacymotorsportsrva.com/,https://maps.google.com/?cid=16425798044167136710,4,5,Monday: 10:00 AM – 7:00 PM/ Tuesday: 10:00 AM – 7:00 PM/ Wednesday: 10:00 AM – 7:00 PM/ Thursday: 10:00 AM – 7:00 PM/ Friday: 10:00 AM – 7:00 PM/ Saturday: Closed/ Sunday: Closed/,,,,0,0,,,,,,,,,
